gnomeID,gnomeName,description,unitPrice
gn001,Maximilian,Solar Garden Gnome,8
gn002,Aiko,Outdoor Gnome Reading a Book Statue,7
gn003,Belita,Mariachi Garden Gnome Statue,15
gn004,Danny,Gnome Statue With solar powered Globe Lights,12
gn005,Koemi,Gnome With Sunglasses,10
gn006,Miette,Gnomes Hanging Swing Outdoor,12
gn007,Rowan,Cottage Gnome Statue,8
gn008,Tulla,Gnome On Toilet,13
gn009,Yves,Hanging Garden Gnome,15
gn010,Babak,Old Man Garden Gnome,11
gn011,Dell,Knothole Gnome,8
gn012,Fishel,Swinging on Rope Outdoor Decorative Gnome,13
gn013,Gorman,Fishing Gnome Garden Statue,5
gn014,Hewitt,Outdoor Gnome and Bird Feeder Statue,7
gn015,Kane,Tree Hugger Gnome,6
gn016,Lorcan,Pixie Sat on Mushrooms Outdoor Garden,11
gn017,Tomlin,Bird Feeder Statue,14
gn018,Luca,Garden Gnome with Squirrel,11
gn019,Nicola,Zen Gnome Statue,8
gn020,Zhenya,Cat Eating Gnome Garden Ornament,15
gn021,Garder,Armory Mosaic with a Lantern Garden,11
gn022,Wayrick,Spirit Garden Wall Decor,11
gn023,Eowyn,Pixie Outdoor Garden Statue,12
gn024,Aldon,Mystical Treant Man Wall Decor,15
gn025,Samuel,Sunflower Gnome Statue,17
gn026,Coimin,Toadstool Figurine with Solar Light,7
gn027,Carlin,Troll Riding Motorcycle Statue,6
gn028,Jenna,Stinky Gnome,14
gn029,Maleah,Squirrel Garden Statue,6
gn030,Posy,Gnome with Flower Garden Statue,15
gn031,Tawnie,Fairy Garden Set,14
gn032,Viveca,Gnome with 2 Squirrels,7
gn033,Arno,Pixie Sat on Mushroom Thinking,10
gn034,Cerin,Kiss and Tell Gnomes,6
gn035,Egan,Gnome with Bird on Hand,10
